"Geslacht","Onderwijssoort","Bedrijstakken (SBI 2008)","Startkwalificatie op peilmoment","Peilmoment","Perioden","Alle schoolverlaters: uurloon (euro)","Zonder startkwalificatie: uurloon (euro)","Met startkwalificatie: uurloon (euro)"
"Totaal schoolverlaters","Totaal schoolverlaters","A-F Landbouw en nijverheid","Zonder startkwalificatie","4 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","A-F Landbouw en nijverheid","Zonder startkwalificatie","5 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","A-F Landbouw en nijverheid","Zonder startkwalificatie","10 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","G+I Handel en horeca","Totaal schoolverlaters","Direct na verlaten onderwijs","2022/'23","11,94","10,93","12,42"
"Totaal schoolverlaters","Totaal schoolverlaters","G+I Handel en horeca","Totaal schoolverlaters","1 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","G+I Handel en horeca","Totaal schoolverlaters","2 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","G+I Handel en horeca","Totaal schoolverlaters","3 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","G+I Handel en horeca","Totaal schoolverlaters","4 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","G+I Handel en horeca","Totaal schoolverlaters","5 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","G+I Handel en horeca","Totaal schoolverlaters","10 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","G+I Handel en horeca","Met startkwalificatie","Direct na verlaten onderwijs","2022/'23","12,42","","12,42"
"Totaal schoolverlaters","Totaal schoolverlaters","G+I Handel en horeca","Met startkwalificatie","1 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","G+I Handel en horeca","Met startkwalificatie","2 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","G+I Handel en horeca","Met startkwalificatie","3 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","G+I Handel en horeca","Met startkwalificatie","4 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","G+I Handel en horeca","Met startkwalificatie","5 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","G+I Handel en horeca","Met startkwalificatie","10 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","G+I Handel en horeca","Zonder startkwalificatie","Direct na verlaten onderwijs","2022/'23","10,93","10,93",""
"Totaal schoolverlaters","Totaal schoolverlaters","G+I Handel en horeca","Zonder startkwalificatie","1 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","G+I Handel en horeca","Zonder startkwalificatie","2 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","G+I Handel en horeca","Zonder startkwalificatie","3 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","G+I Handel en horeca","Zonder startkwalificatie","4 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","G+I Handel en horeca","Zonder startkwalificatie","5 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","G+I Handel en horeca","Zonder startkwalificatie","10 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","H+J Vervoer, informatie en communicatie","Totaal schoolverlaters","Direct na verlaten onderwijs","2022/'23","15,15","14,74","15,34"
"Totaal schoolverlaters","Totaal schoolverlaters","H+J Vervoer, informatie en communicatie","Totaal schoolverlaters","1 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","H+J Vervoer, informatie en communicatie","Totaal schoolverlaters","2 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","H+J Vervoer, informatie en communicatie","Totaal schoolverlaters","3 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","H+J Vervoer, informatie en communicatie","Totaal schoolverlaters","4 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","H+J Vervoer, informatie en communicatie","Totaal schoolverlaters","5 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","H+J Vervoer, informatie en communicatie","Totaal schoolverlaters","10 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","H+J Vervoer, informatie en communicatie","Met startkwalificatie","Direct na verlaten onderwijs","2022/'23","15,34","","15,34"
"Totaal schoolverlaters","Totaal schoolverlaters","H+J Vervoer, informatie en communicatie","Met startkwalificatie","1 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","H+J Vervoer, informatie en communicatie","Met startkwalificatie","2 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","H+J Vervoer, informatie en communicatie","Met startkwalificatie","3 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","H+J Vervoer, informatie en communicatie","Met startkwalificatie","4 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","H+J Vervoer, informatie en communicatie","Met startkwalificatie","5 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","H+J Vervoer, informatie en communicatie","Met startkwalificatie","10 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","H+J Vervoer, informatie en communicatie","Zonder startkwalificatie","Direct na verlaten onderwijs","2022/'23","14,74","14,74",""
"Totaal schoolverlaters","Totaal schoolverlaters","H+J Vervoer, informatie en communicatie","Zonder startkwalificatie","1 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","H+J Vervoer, informatie en communicatie","Zonder startkwalificatie","2 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","H+J Vervoer, informatie en communicatie","Zonder startkwalificatie","3 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","H+J Vervoer, informatie en communicatie","Zonder startkwalificatie","4 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","H+J Vervoer, informatie en communicatie","Zonder startkwalificatie","5 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","H+J Vervoer, informatie en communicatie","Zonder startkwalificatie","10 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","K-L Financiële diensten; onroerend goed","Totaal schoolverlaters","Direct na verlaten onderwijs","2022/'23","14,05","12,10","14,35"
"Totaal schoolverlaters","Totaal schoolverlaters","K-L Financiële diensten; onroerend goed","Totaal schoolverlaters","1 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","K-L Financiële diensten; onroerend goed","Totaal schoolverlaters","2 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","K-L Financiële diensten; onroerend goed","Totaal schoolverlaters","3 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","K-L Financiële diensten; onroerend goed","Totaal schoolverlaters","4 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","K-L Financiële diensten; onroerend goed","Totaal schoolverlaters","5 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","K-L Financiële diensten; onroerend goed","Totaal schoolverlaters","10 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","K-L Financiële diensten; onroerend goed","Met startkwalificatie","Direct na verlaten onderwijs","2022/'23","14,35","","14,35"
"Totaal schoolverlaters","Totaal schoolverlaters","K-L Financiële diensten; onroerend goed","Met startkwalificatie","1 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","K-L Financiële diensten; onroerend goed","Met startkwalificatie","2 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","K-L Financiële diensten; onroerend goed","Met startkwalificatie","3 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","K-L Financiële diensten; onroerend goed","Met startkwalificatie","4 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","K-L Financiële diensten; onroerend goed","Met startkwalificatie","5 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","K-L Financiële diensten; onroerend goed","Met startkwalificatie","10 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","K-L Financiële diensten; onroerend goed","Zonder startkwalificatie","Direct na verlaten onderwijs","2022/'23","12,10","12,10",""
"Totaal schoolverlaters","Totaal schoolverlaters","K-L Financiële diensten; onroerend goed","Zonder startkwalificatie","1 jaar na verlaten onderwijs","2022/'23","","",""
"Bron: CBS."
